menu_index,Basic_ID,Basic_Name,Basic_Weight_g,Basic_Price_TWD,Label_Cal_kcal,Label_CalNoSa_kcal,Label_Carbohydrate_g,Label_Protein_g,Label_Fat_g,Label_Sugar_g,Label_DietFiber_g,Label_Water_g,Label_Coffeine,Compound_MonoSa_g,Compound_DiSa_g,Compound_PolySa_g,Compound_SaFat_g,Compound_MonounUnsaFat_g,Compound_PolyUnsaFat_g,Compound_TransFat_g,Compound_Cholesterol_mg,Vitamin_A_μg,Vitamin_D_μg,Vitamin_E_μg,Vitamin_K_μg,Vitamin_B1_mg,Vitamin_B2_mg,Vitamin_B6_μg,Vitamin_B12_μg,Vitamin_C_mg,Vitamin_B3_μg,Vitamin_B9_μg,Vitamin_Choline_μg,Vitamin_B7_μg,Vitamin_B5_μg,Element_Na_mg,Element_Ca_mg,Element_P_mg,Element_Mg_mg,Element_Fe_mg,Element_Zi_mg,Element_I_mg,Element_Se_mg,Element_F_mg
1,0001EAAAXE1F0001,漢堡,,,260,,31,13,9,,,,,,,,3,3,1,,25,19,,,,0.1,0.3,,,1,,,,,,450,44,,,1,,,,
2,0001EAAAXE1F0002,吉事漢堡,,,310,,32,16,13,,,,,,,,6,4,1,,40,63,,,,0.1,0.4,,,1,,,,,,710,123,,,1,,,,
3,0001EAAAXE1F0003,雙層牛肉吉事堡,,,450,,32,27,24,,,,,,,,11,8,1.5,,80,106,,,,0.1,0.6,,,1,,,,,,1050,213,,,2,,,,
4,0001EAAAXE1F0004,四盎司牛肉堡,,,540,,32,32,32,,,,,,,,16,3,9,,40,112,,,,0.1,0.4,,,1,,,,,,1130,199,,,3,,,,
5,0001EAAAXE1F0005,雙層四盎司牛肉堡,,,800,,35,53,49,,,,,,,,26,3.5,17,,60,112,,,,0.1,0.4,,,1,,,,,,1290,209,,,5,,,,
6,0001EAAAXEAH0006,麥克雙牛堡,,,410,,32,24,20,,,,,,,,8,7,1,,65,62,,,,0.1,0.5,,,1,,,,,,780,134,,,2,,,,
7,0001EAAAXE2H0007,板烤鷄腿堡,,,300,,46,24,2,,,,,,,,1,0.5,0,,65,72,,,,0,0.5,,,0,,,,,,1060,16,,,2,,,,
8,0001EAAAXEAH0008,大麥克,,,530,,45,27,26,,,,,,,,10,8,4.5,,70,56,,,,0.1,0.6,,,0,,,,,,890,153,,,2,,,,
9,0001EAAAXE2K0009,勁辣鷄腿堡,,,560,,45,27,30,,,,,,,,11,7,7,,85,6,,,,0.1,0.6,,,0,,,,,,1170,63,,,1,,,,
10,0001EAAAXE1F0010,麥香鷄,,,380,,42,14,17,,,,,,,,5,6,6,,40,6,,,,0.1,0.4,,,0,,,,,,780,47,,,1,,,,
11,0001EAAAXE1F0011,麥香魚,,,320,,35,15,14,,,,,,,,4.5,4,4,,30,28,,,,0.1,0.3,,,0,,,,,,600,82,,,0,,,,
12,0001EAAAXE2H0012,1955 美式培根牛肉堡,,,586,,41,29,34,10,,,,,,,13.3,,,1.1,,,,,,,,,,,,,,,,800,,,,,,,,
13,0001EAAAXE2H0013,青蔬烤鷄堡,,,248,,28,17,8,,,,,,,,2.1,,,0,,,,,,,,,,,,,,,,370,,,,,,,,
14,0001EAAAXE1C0014,陽光鱈魚堡,,,252,,37,12,6,,,,,,,,2.7,,,0,,,,,,,,,,,,,,,,370,,,,,,,,
