Store_index,Store_ID,Store_Name,Store_Code1,Store_Code2
1,0001,麥當勞,FEAA,FEAJ
2,0002,肯德基,FEAJ,
3,0003,頂呱呱,,
4,0004,八方雲集,,
5,0005,PizzaHot,,
6,0006,達美樂,FEAJ,LEAJ
7,0007,四海遊龍,,
8,0008,三商巧福,,
9,0009,爭鮮,,
10,0010,MOS BUGER,,
11,0011,吉野家,,
12,0012,錢都,,
13,0013,SUBWAY,,
14,0014,BUGER KING,,
15,0015,大埔鐵板燒,,
16,0016,春水堂,,
17,0017,永和豆漿,,
18,0018,美而美,,
19,0019,美芝城,,
20,0020,拉亞漢堡,,
21,0021,麥味堡,,
22,0022,呷尚寶,,
23,0023,丹丹漢堡,,
24,0024,弘爺漢堡,,
25,0025,悟饕,,
26,0026,大肚魚,,
27,0027,星巴克,,
28,0028,COCO,,
29,0029,清心,,
30,0030,雀兒思啼,,
31,0031,COMBUY,,
32,0032,五十嵐,,
33,0033,茶湯會,,
34,0034,茶番,,
35,0035,樂法,,
36,0036,清玉,,
37,0037,樺達,,
38,0038,喫茶小舖,,
39,0039,大苑子,,
40,0040,天仁茗茶,,
41,0041,好了啦紅茶冰,,
42,0042,茶的魔手,,
43,0043,鮮茶道,,
44,0044,台灣第一味,,
